Code,Name,Latitude,Longitude,Marine-REG_ID,Marine-REG_SP,Marine-REG_NAME,Temper-REG_ID,Temper-REG_SP,Temper-REG_NAME,division
DT_0057,동해항,37.494722,129.143889,12C10000,I,동해남부,11D20601,C,동해,강원영동
DT_0058,경인항,37.560833,126.601111,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0059,백령도,37.95565,124.736081,12A10000,I,서해북부,11A00101,C,백령도,백령도
DT_0060,연평도,37.657669,125.714417,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0061,삼천포,34.924167,128.069722,12B20000,I,남해동부,11H20402,C,사천,경상남도
DT_0062,마산,35.1975,128.576389,12B20000,I,남해동부,11H20301,C,창원,경상남도
DT_0063,가덕도,35.024178,128.810933,12B20000,I,남해동부,11H20201,C,부산,경상남도
DT_0064,교동대교,37.789611,126.339611,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0065,덕적도,37.226333,126.156556,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0067,안흥,36.674639,126.129556,12A20000,I,서해중부,11C20102,C,태안,충청남도
DT_0068,위도,35.618084,126.301816,12A20000,I,서해중부,21F10602,C,부안,서남해안
DT_0091,포항,36.051777,129.376277,12C10000,I,동해남부,11H10201,C,포항,경상북도
DT_0092,여호항,34.661944,127.469167,12B10000,I,남해서부,11F20403,C,고흥,전라남도
DT_0093,소무의도,37.373069,126.440066,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0094,서거차도,34.251422,125.91545,12A30000,I,서해남부,21F20201,C,진도,서남해안
