#START7777
#--------------------------------------------------------------------------------------------------
#  주간/중기예보구역 조회
#---------------------------------------------------------------------------------------------------
#  1. REG_ID   : 예보구역코드
#  2. TM_ST    : 시작시각(년월일시분,KST)
#  3. TM_ED    : 종료시각(년월일시분,KST)
#  4. REG_SP   : 특성 (A:육상,C:도시,H:해상)
#  5. REG_NAME : 예보구역명
#---------------------------------------------------------------------------------------------------
# REG_ID TM_ST        TM_ED        REG_SP REG_NAME
11J20002 202007171000 210012310000 C      진남포(남포) 
11J20004 201610131800 210012310000 C      안주 
11J20005 201610131800 210012310000 C      양덕 
11K10000 199001010000 210012310000 A      함경북도 
11K10001 200907010000 210012310000 C      청진 
11K10002 202007171000 210012310000 C      웅기(선봉) 
11K10003 202007171000 210012310000 C      성진(김책) 
11K10004 202007171000 210012310000 C      무산(삼지연) 
11K20000 199001010000 210012310000 A      함경남도 
11K20001 200907011200 210012310000 C      함흥 
11K20002 201610131800 210012310000 C      장진 
11K20003 202007171000 210012310000 C      북청(신포) 
11K20004 201610131800 210012310000 C      혜산 
11K20005 201610131800 210012310000 C      풍산 
11L10001 201610131800 210012310000 C      원산 
11L10002 202007171000 210012310000 C      고성(장전) 
11L10003 201610131800 210012310000 C      평강 
12A00000 199001010000 210012310000 H      서해 
12A10000 201409111700 210012310000 H      서해북부 
12A20000 201501221100 210012310000 H      서해중부 
12A30000 199001010000 210012310000 H      서해남부 
12B00000 199001010000 210012310000 H      남해 
12B10000 201512281700 210012310000 H      남해서부 
12B10500 200810240000 210012310000 H      제주도해상 
12B20000 199001010000 210012310000 H      남해동부 
12C00000 199001010000 210012310000 H      동해 
12C10000 201701191130 210012310000 H      동해남부 
12C20000 199001010000 210012310000 H      동해중부 
12C30000 201409111700 210012310000 H      동해북부 
12D00000 201310150500 210012310000 H      대화퇴 
12E00000 201310150500 210012310000 H      동중국해 
12F00000 199001010000 210012310000 H      규슈 
12F00100 199001010000 210012310000 I      규슈(서해) 
12F00200 199001010000 210012310000 I      규슈(남해) 
12G00000 201310150500 210012310000 H      연해주 
21F10501 201501221100 210012310000 C      군산 
21F10502 201610131800 210012310000 C      김제 
21F10601 201610131800 210012310000 C      고창 
21F10602 201610131800 210012310000 C      부안 
21F20101 201610131800 210012310000 C      함평 
21F20102 201610131800 210012310000 C      영광 
