event_message,event_type,function_id,id,level,timestamp
booted (time: 29ms),Boot,55211477-d9a1-46c2-b72b-6cca9ead9e7a,d2be9405-c06f-44b3-8b8b-8887512d9bd1,log,1755660436778000
"Batch starting at 110 finished successfully.
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,3687d346-ff8c-4d58-96bc-b92f2c4c42ba,log,1755660436681000
"Invoking next batch at startIndex: 120
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,3ac9696c-7106-4fc4-a45d-1d2d1494afd3,log,1755660436681000
"Upserting 690 records for this batch...
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,876b46d2-65eb-4f39-8ce5-7c86281086fb,log,1755660436057000
"[FETCH] Getting latest base date time...
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,778db8de-8cb2-4a23-b90d-e81d75476290,log,1755660432987000
"Processing 10 locations in this batch.
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,7ecaf822-5854-428e-8539-45a181135f64,log,1755660432987000
"Total unique grid locations: 126
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,f5c8866f-8c36-4aa1-80a4-bf3d2a175717,log,1755660432987000
"[FETCH] Base date time: 20250820 1100
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,ca4ce626-725a-47bc-ad06-24748bbfafca,log,1755660432987000
"[FETCH] Database query result - data count: 134
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,d682126b-a881-4881-a58c-4ab9cb1e1093,log,1755660432986000
"[FETCH] Database query result - error: null
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,596e8390-5ef5-4636-87b8-457b52294d10,log,1755660432986000
"[MAIN] doWeatherFetch completed successfully
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,487e0506-2caf-45ec-aa4d-98a2423fbb7c,log,1755660432854000
"[FETCH] Fetching locations from database...
",Log,55211477-d9a1-46c2-b72b-6cca9ead9e7a,b42352c1-bb4d-4ec0-bacd-60c8153f17fc,log,1755660432597000
