id,created_at,function_name,status,started_at,finished_at,locations_fetched,records_upserted,error_message
1,2025-07-06 15:32:23.850035+00,get-kma-weather,success,2025-07-06 15:32:10.024+00,2025-07-06 15:32:23.768+00,5,405,
2,2025-07-06 15:51:57.136768+00,get-kma-weather,success,2025-07-06 15:48:55.766+00,2025-07-06 15:51:57.048+00,125,10125,
