Code,Name,Latitude,Longitude,Closest_Name,Closest_Latitude,Closest_Longitude,Distance_km
DT_0019,가덕도,35.024167,128.810833,거제,34.88818,128.60459,22.95
DT_0020,울산,35.501944,129.387222,울산,35.58237,129.33469,9.68
DT_0021,추자도,33.961944,126.300278,제주,33.51411,126.52969,53.07
DT_0022,성산포,33.474722,126.927778,성산,33.38677,126.8802,10.43
DT_0023,모슬포,33.214444,126.251111,고산,33.29382,126.16283,11.75
DT_0024,장항,36.006944,126.6875,군산,36.0053,126.76135,6.29
DT_0025,보령,36.406389,126.486111,보령,36.32724,126.55744,10.82
DT_0026,고흥발포,34.481111,127.342778,고흥,34.61826,127.27572,16.29
DT_0027,완도,34.315556,126.759722,완도,34.3959,126.70182,10.22
DT_0028,진도,34.377778,126.308611,진도군,34.47296,126.25846,11.44
DT_0029,거제도,34.801389,128.699167,거제,34.88818,128.60459,12.56
DT_0030,위도,35.618056,126.301667,부안,35.72961,126.71657,38.64
DT_0031,거문도,34.028333,127.308889,여수,34.73929,127.74063,85.58
DT_0032,강화대교,37.731944,126.522222,강화,37.70739,126.44634,6.78
DT_0034,안흥,36.673611,126.132222,서산,36.77658,126.4939,34.44
DT_0035,흑산도,34.684167,125.435556,흑산도,34.68719,125.45105,1.34
DT_0036,대청도,37.825222,124.718056,백령도,37.97396,124.71237,16.59
DT_0037,어청도,36.117222,125.984722,군산,36.0053,126.76135,68.61
DT_0038,굴업도,37.194444,125.995,인천,37.47772,126.6249,62.59
DT_0039,왕돌초,36.719167,129.7325,울진,36.99176,129.41278,39.46
DT_0040,독도,37.238889,131.867222,울릉도,37.48129,130.89863,85.25
DT_0041,복사초,34.098333,126.168333,진도군,34.47296,126.25846,42.45
DT_0042,교본초,34.704722,128.306389,통영,34.84541,128.43561,19.38
DT_0043,영흥도,37.238611,126.428611,수원,37.25746,126.983,48.06
DT_0044,영종대교,37.545556,126.584444,인천,37.47772,126.6249,8.13
DT_0045,격렬비열도,36.624369,125.561964,서산,36.77658,126.4939,81.65
DT_0046,쌍정초,37.556161,130.939211,울릉도,37.48129,130.89863,8.79
DT_0047,도농탄,33.158056,126.274722,고산,33.29382,126.16283,17.66
DT_0048,속초등표,38.199478,128.613083,속초,38.25085,128.56473,6.27
DT_0049,광양,34.903672,127.754836,광양시,34.9434,127.6914,6.7
DT_0050,태안,36.913056,126.238889,서산,36.77658,126.4939,27.27
DT_0051,서천마량,36.128889,126.495278,보령,36.32724,126.55744,22.82
DT_0052,인천송도,37.338056,126.586111,인천,37.47772,126.6249,15.79
DT_0054,진해,35.147222,128.643056,창원,35.17019,128.57282,6.75
DT_0056,부산항신항,35.0775,128.784722,거제,34.88818,128.60459,26.6
DT_0057,동해항,37.494722,129.143889,동해,37.50709,129.12433,1.93
DT_0058,경인항,37.560833,126.601111,인천,37.47772,126.6249,9.47
DT_0059,백령도,37.95565,124.736081,백령도,37.97396,124.71237,2.62
DT_0060,연평도,37.657669,125.714417,백령도,37.97396,124.71237,93.36
DT_0061,삼천포,34.924167,128.069722,남해,34.81662,127.92641,16.59
DT_0062,마산,35.1975,128.576389,창원,35.17019,128.57282,3.03
DT_0063,가덕도,35.024178,128.810933,거제,34.88818,128.60459,22.96
DT_0064,교동대교,37.789611,126.339611,강화,37.70739,126.44634,12.39
DT_0065,덕적도,37.226333,126.156556,인천,37.47772,126.6249,48.64
DT_0067,안흥,36.674639,126.129556,서산,36.77658,126.4939,34.78
DT_0068,위도,35.618084,126.301816,부안,35.72961,126.71657,38.64
DT_0091,포항,36.051777,129.376277,포항,36.03201,129.38002,2.24
DT_0092,여호항,34.661944,127.469167,고흥,34.61826,127.27572,17.62
DT_0093,소무의도,37.373069,126.440066,인천,37.47772,126.6249,19.46
DT_0094,서거차도,34.251422,125.91545,진도군,34.47296,126.25846,38.45
