Code,Name,Latitude,Longitude,Closest_Name,Closest_Latitude,Closest_Longitude,Distance_km
DT_0019,가덕도,35.024167,128.810833,가덕도,35.021667,128.813056,0.31
DT_0020,울산,35.501944,129.387222,울산,35.3453,129.8414,44.2
DT_0021,추자도,33.961944,126.300278,추자도,33.79361,126.1411,23.33
DT_0022,성산포,33.474722,126.927778,성산포,33.475,126.927778,0.03
DT_0023,모슬포,33.214444,126.251111,모슬포,33.214444,126.251111,0
DT_0024,장항,36.006944,126.6875,장항,36.006944,126.6875,0
DT_0025,보령,36.406389,126.486111,보령,36.403056,126.488056,0.42
DT_0026,고흥발포,34.481111,127.342778,고흥,34.476667,127.3475,0.63
DT_0027,완도,34.315556,126.759722,완도,34.3125,126.761389,0.35
DT_0028,진도,34.377778,126.308611,진도,34.3777,126.3086,0.01
DT_0029,거제도,34.801389,128.699167,지심도,34.827778,128.775,7.15
DT_0030,위도,35.618056,126.301667,위도,35.6153,126.3039,0.33
DT_0031,거문도,34.028333,127.308889,거문도,34.0014,127.5014,17.58
DT_0032,강화대교,37.731944,126.522222,볼음도,37.6128,126.1347,35.53
DT_0034,안흥,36.673611,126.132222,안흥,36.67,126.135,0.32
DT_0035,흑산도,34.684167,125.435556,대흑산도,34.683889,125.435833,0.04
DT_0036,대청도,37.825222,124.718056,백령도,37.9556,124.7361,14.53
DT_0037,어청도,36.117222,125.984722,어청도,36.1169,125.9847,0.04
DT_0038,굴업도,37.194444,125.995,덕적도,37.2361,126.0188,4.86
DT_0039,왕돌초,36.719167,129.7325,왕돌초,36.71667,129.735,0.32
DT_0040,독도,37.238889,131.867222,독도,37.2373,131.8697,0.28
DT_0041,복사초,34.098333,126.168333,조도,34.286,126.115,21.49
DT_0042,교본초,34.704722,128.306389,교본초,34.70167,128.31,0.36
DT_0043,영흥도,37.238611,126.428611,영흥도,37.2367,126.4314,0.26
DT_0044,영종대교,37.545556,126.584444,인천(송도),37.3381,126.5861,23.05
DT_0045,격렬비열도,36.624369,125.561964,외연도,36.25,125.75,44.37
DT_0046,쌍정초,37.556161,130.939211,혈암,37.5412,130.8542,7.42
DT_0047,도농탄,33.158056,126.274722,가파도,33.1623,126.2642,0.94
DT_0048,속초등표,38.199478,128.613083,속초,38.204444,128.596667,1.43
DT_0049,광양,34.903672,127.754836,광양,34.90342,127.75483,0.03
DT_0050,태안,36.913056,126.238889,태안,36.9133,126.2386,0.03
DT_0051,서천마량,36.128889,126.495278,서천(마량),36.1286,126.4956,0.04
DT_0052,인천송도,37.338056,126.586111,인천(송도),37.3381,126.5861,0.01
DT_0054,진해,35.147222,128.643056,진해군항,35.14722,128.64306,0
DT_0056,부산항신항,35.0775,128.784722,부산신항,35.0744,128.7869,0.38
DT_0057,동해항,37.494722,129.143889,묵호,37.5475,129.118611,5.95
DT_0058,경인항,37.560833,126.601111,인천(송도),37.3381,126.5861,24.69
DT_0059,백령도,37.95565,124.736081,백령도,37.9556,124.7361,0.01
DT_0060,연평도,37.657669,125.714417,연평도,37.619444,125.648333,6.64
DT_0061,삼천포,34.924167,128.069722,삼천포,34.924056,128.069722,0.01
DT_0062,마산,35.1975,128.576389,마산,35.196944,128.58,0.31
DT_0063,가덕도,35.024178,128.810933,가덕도,35.021667,128.813056,0.26
DT_0064,교동대교,37.789611,126.339611,볼음도,37.6128,126.1347,27.53
DT_0065,덕적도,37.226333,126.156556,덕적도,37.2361,126.0188,11.96
DT_0067,안흥,36.674639,126.129556,안흥,36.67,126.135,0.54
DT_0068,위도,35.618084,126.301816,위도,35.6153,126.3039,0.34
DT_0091,포항,36.051777,129.376277,포항,36.35,129.7833,47.38
DT_0092,여호항,34.661944,127.469167,고흥,34.476667,127.3475,23.59
DT_0093,소무의도,37.373069,126.440066,영흥도,37.2367,126.4314,15.18
DT_0094,서거차도,34.251422,125.91545,맹골수도,34.2263,125.9537,4.19
