code,obsPostName,위도,경도,marine_reg_name,AddressA,AddressB,AddressC,a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON),a_거리,b_STN ID,b_위도(LAT),b_경도(LON),b_거리
AD_0034,갈두항,34.330291,126.53492,남해서부,전라남도,해남군 송지면,송호리 1127-22,노화도,22477,34.2415,126.491,0.09905961882119317,537800,34.3125,126.76138889,0.2271666300732465
AD_0035,동천항,34.203406,126.624946,남해서부,전라남도,완도군 노화읍,동천리,청산도,22456,34.1377,126.7438,0.13580703866883914,537800,34.3125,126.76138889,0.17469448493743345
AD_0036,정남진해양낚시공원,34.470784,126.97624,남해서부,전라남도,장흥군 회진면,해양낚시길 137,고흥,22478,34.3753,127.1783,0.2234847597846334,537800,34.3125,126.76138889,0.26686105771399427
AD_0037,고흥만방조제,34.651229,127.213832,남해서부,전라남도,고흥군 도덕면,용동리 1454,고흥,22478,34.3753,127.1783,0.2782073616297726,548893,34.47666667,127.3475,0.21986164121790122
AD_0038,용두항,34.835211,127.433247,남해서부,전라남도,순천시 별량면,구룡리 6-8,나로도,22502,34.432,127.5892,0.4323198454038428,545711,34.90342,127.75483,0.32873711924576143
AD_0039,내지항,34.855647,128.180548,남해동부,경상남도,통영시 사량면,상도일주로 494,사량도,22501,34.8612,128.1383,0.04261137539437152,52565,34.924056,128.069722,0.13023898631744152
AD_0040,계도항,34.974278,128.51763,남해동부,경상남도,거제시 사등면,창호리 1070-24,잠도,22484,35.058,128.6808,0.18339526216345636,650804,34.82472222,128.43694444,0.16993260700619825
AD_0041,가배항,34.78596,128.568371,남해동부,경상남도,거제시 동부면,가배리,한산도,22467,34.7058,128.4963,0.1077954295923678,626800,34.79888889,128.70166667,0.13392121503846852
AD_0042,다대포항,35.057047,128.979232,남해동부,경상남도,사하구,다대동,다대포,22460,35.0213,128.9553,0.043018468510630924,158650,35.09305556,129.0375,0.06849654164462493
IE_0060,이어도,125.182222222222,32.1227777777778,남해서부,제주,서귀포시 대정읍,가파리,서해143,22193,37.5,124.0167,127.01442845287674,22193,37.5,124.0167,127.01442845287674
IE_0061,신안가거초,124.592778,33.941944,남해서부,전라남도,신안군 흑산면,가거도리,서해143,22193,37.5,124.0167,125.29410859340841,22193,37.5,124.0167,125.29410859340841
IE_0062,옹진소청초,124.738056,37.423056,서해북부,인천광역시,옹진군 영흥면,외리 1133-18,서해143,22193,37.5,124.0167,122.91841845654325,22193,37.5,124.0167,122.91841845654325
