a_지역명(한글),a_STN ID,a_위도(LAT),a_경도(LON),Code,Name
이수도,22513,34.9728,128.7577,DT_0056,부산항신항
맹방,22479,37.4013,129.2292,DT_0057,동해항
장봉도,22496,37.49,126.3528,DT_0058,경인항
연평도,22522,37.619,125.6483,DT_0059,백령도
연평도,22522,37.619,125.6483,DT_0060,연평도
두미도,22450,34.7092,128.1495,DT_0061,삼천포
이수도,22513,34.9728,128.7577,DT_0062,마산
이수도,22513,34.9728,128.7577,DT_0063,가덕도
볼음도,22525,37.6115,126.134,DT_0064,교동대교
이작도,22461,37.1648,126.2067,DT_0065,덕적도
신진도,22444,36.6048,126.1265,DT_0067,안흥
위도,22504,35.6582,126.2613,DT_0068,위도
월포,22490,36.2167,129.4013,DT_0091,포항
나로도,22502,34.4322,127.5892,DT_0092,여호항
장봉도,22496,37.49,126.3528,DT_0093,소무의도
맹골수도,22481,34.2265,125.9543,DT_0094,서거차도
