b_지역명,b_STN ID,b_위도(LAT),b_경도(LON),Code,Name
광양,545711,34.90342,127.75483,DT_0049,광양
태안,357914,36.9133,126.2386,DT_0050,태안
서천(마량),325894,36.1286,126.4956,DT_0051,서천마량
인천(송도),406800,37.3381,126.5861,DT_0052,인천송도
진해군항,645600,35.14722,128.64306,DT_0054,진해
부산신항,516090,35.0744,128.7869,DT_0056,부산항신항
동해항,240130,37.495,129.1439,DT_0057,동해항
인천,400031,37.44916667,126.5941667,DT_0058,경인항
백령도,23102,37.9556,124.7361,DT_0059,백령도
연평도,23108,37.6577,125.7144,DT_0060,연평도
삼천포,52565,34.924056,128.069722,DT_0061,삼천포
마산,630651,35.19694444,128.58,DT_0062,마산
가덕도,618440,35.02166667,128.8130556,DT_0063,가덕도
인천,400031,37.44916667,126.5941667,DT_0064,교동대교
덕적도,22101,37.2361,126.0188,DT_0065,덕적도
안흥,357945,36.67,126.135,DT_0067,안흥
위도,579911,35.6153,126.3039,DT_0068,위도
포항,37716,36.01777778,129.3991667,DT_0091,포항
고흥,548893,34.47666667,127.3475,DT_0092,여호항
서수도,955,37.325,126.3933333,DT_0093,소무의도
해수서,959,34.26333333,126.0266667,DT_0094,서거차도
